Wed May  6 23:31:28 2026    reports/profile_run2.prof

         86419 function calls (84084 primitive calls) in 11.309 seconds

   Ordered by: cumulative time
   List reduced from 1268 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'recv_into' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 socketserver.py:203(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:788(close)
        2    0.000    0.000    0.000    0.000 socket.py:529(type)
        1    0.000    0.000    0.000    0.000 socket.py:218(socket)
        1    0.000    0.000    0.000    0.000 socketserver.py:481(server_activate)
        2    0.000    0.000    0.000    0.000 simple_server.py:108(get_stderr)
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        6    0.000    0.000    0.000    0.000 server.py:357(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'listen' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 socket.py:750(readable)
        1    0.000    0.000    0.000    0.000 server.py:1043(CGIHTTPRequestHandler)
        2    0.000    0.000    0.000    0.000 socket.py:497(_decref_socketios)
        1    0.000    0.000    0.000    0.000 socket.py:683(SocketIO)
        6    0.000    0.000    0.000    0.000 server.py:359(<genexpr>)
        1    0.000    0.000    0.000    0.000 server.py:706(SimpleHTTPRequestHandler)
        1    0.000    0.000    0.000    0.000 socketserver.py:155(BaseServer)
        4    0.000    0.000    0.000    0.000 {method 'truncate' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 socketserver.py:392(TCPServer)
        1    0.000    0.000    0.000    0.000 simple_server.py:53(setup_environ)
        1    0.000    0.000    0.000    0.000 simple_server.py:71(WSGIRequestHandler)
        1    0.000    0.000    0.000    0.000 socketserver.py:645(_Threads)
        1    0.000    0.000    0.000    0.000 simple_server.py:28(ServerHandler)
        1    0.000    0.000    0.000    0.000 simple_server.py:42(WSGIServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:497(fileno)
        1    0.000    0.000    0.000    0.000 socketserver.py:557(ForkingMixIn)
        1    0.000    0.000    0.000    0.000 server.py:158(HTTPSServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:678(ThreadingMixIn)
        1    0.000    0.000    0.000    0.000 socketserver.py:528(UDPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:788(StreamRequestHandler)
        2    0.000    0.000    0.000    0.000 socketserver.py:838(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _socket.getdefaulttimeout}
        2    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 simple_server.py:63(get_app)
        1    0.000    0.000    0.000    0.000 server.py:141(HTTPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:742(BaseRequestHandler)
        1    0.000    0.000    0.000    0.000 socketserver.py:833(_SocketWriter)
        1    0.000    0.000    0.000    0.000 socketserver.py:667(_NoThreads)
        1    0.000    0.000    0.000    0.000 simple_server.py:66(set_app)
        1    0.000    0.000    0.000    0.000 socketserver.py:852(DatagramRequestHandler)
        1    0.000    0.000    0.000    0.000 socket.py:215(_GiveupOnSendfile)
        2    0.000    0.000    0.000    0.000 socketserver.py:335(verify_request)
        1    0.000    0.000    0.000    0.000 server.py:154(ThreadingHTTPServer)
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 server.py:195(ThreadingHTTPSServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:727(UnixStreamServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:719(ForkingUDPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:730(UnixDatagramServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:720(ForkingTCPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:723(ThreadingTCPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:733(ThreadingUnixStreamServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:738(ForkingUnixStreamServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:740(ForkingUnixDatagramServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:735(ThreadingUnixDatagramServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:722(ThreadingUDPServer)


